DC,Ilex opaca,                                 ,Pinus clausa,Liquidambar styraciflua,Quercus hemisphaerica,Acer rubrum,Gordonia lasianthus,Ilex Cassine,Quercus geminata,Marked as 917 B,Quercus nigra,Pinus palustris,Ilex cassine,Pinus elliottii,Quercus laevis,Marked as 917,Pinus taeda
795,0.0176065909972,0.0279474622734,0.0470503644565,0.0149167295538,0.0970081126654,0.0472050147811,0.010274592848,0.0449945840322,0.0236013409052,0.0840810135533,0.0271528759748,0.181366903858,0.178375736407,0.0154026421625,0.010369440502,0.0845252489847,0.0881213460448
3744,0.0549054761548,0.0107420571952,0.0932139086627,0.00752771781915,0.00681140969822,0.00925107771632,0.0443005776878,0.0425506147633,0.0217955559625,0.0477747401574,0.0196569331037,0.00183961452453,0.212493877063,0.159618814418,0.125974108787,0.018530099777,0.123013416509
3740,0.054447597312,0.0298037818496,0.238981466192,0.0111957381211,0.0161247923786,0.176006747547,0.0182490610682,0.00835115083561,0.0130015499552,0.0252526452483,0.0143562020663,0.0433133901137,0.145520774522,0.133521338927,0.0100583794518,0.0541190842625,0.00769630014911
3738,0.0476742398946,0.0237890657647,0.0533455551167,0.0822472534183,0.0499753578852,0.169544277752,0.0539271956976,0.161094888823,0.0164807174449,0.0367495845004,0.04682269597,0.021024091971,0.0686357783517,0.0255678708813,0.0574967107457,0.057155800342,0.0284689154406
3739,0.019804410374,0.0555353640198,0.0633915726094,0.112192732199,0.00641454791392,0.045130155582,0.0363903794312,0.00562369942831,0.028826944741,0.0805202476478,0.0795740654107,0.0106523317747,0.0600815354542,0.0534236563983,0.113932520149,0.0949939569551,0.133511879912
3752,0.0418218237042,0.040582332475,0.00321593974958,0.0305936435108,0.0253741354352,0.0356843501713,0.173669304133,0.0540301459037,0.0139213007344,0.0648304262184,0.0207102456558,0.0133113981979,0.0267997378614,0.0299971469691,0.0819042118479,0.0375094131377,0.306044444294
3743,0.0624403285112,0.0986317437649,0.0732608352156,0.00202196057175,0.00715978804006,0.0600853049678,0.00179738075792,0.0146436653972,0.0689824994691,0.00789088380161,0.26646698918,0.120887337141,0.0119966719278,0.0115049696591,0.0634667583255,0.0428721336923,0.0858907495775
3744,0.0164921546563,0.162656342802,0.0794080579379,0.0941633682319,0.137918891772,0.0662223081014,0.0351301979252,0.0282092884111,0.0478978501591,0.0254074295468,0.0087544329034,0.00700424628921,0.01068109283,0.00416064138272,0.110339265655,0.155831479861,0.00972295153413
3748,0.169801928653,0.0235796747155,0.0247032606241,0.0984823758035,0.0125724921633,0.120817501115,0.00754405343767,0.0288313223995,0.0121672155205,0.189733070329,0.0660187655335,0.0424054779648,0.0597445376289,0.0113065661428,0.0498245953179,0.0758969673735,0.00657019527731
3755,0.000721532839668,0.111859955614,0.052131655803,0.11860413051,0.0704862230598,0.067898748665,0.0325552168755,0.0182262539054,0.130697125491,0.00367416459656,0.0112964150914,0.00895041965813,0.0631211988306,0.00142136677739,0.00203558447437,0.249969463943,0.0563505438652
3754,0.144032624612,0.0810063818448,0.0340582349453,0.00337805784514,0.030330517197,0.0684513644835,0.0397065446361,0.127373401903,0.00680204660037,0.0253746378405,0.052246430769,0.0579832494446,0.00901015987293,0.170853220664,0.0986668513707,0.0396373934436,0.0110888825274
3753,0.0207743055325,0.0667730039999,0.0686027248111,0.0607709009447,0.125687209873,0.0132270022448,0.020386267634,0.250528585644,0.0126998203753,0.0176556309608,0.0831564671302,0.00549878352635,0.10007261693,0.0382446184974,0.0241267110925,0.0824050253924,0.00939032541219
3736,0.0323132440741,0.0378480671722,0.0384451295458,0.0164928046482,0.00772429854168,0.0455477153977,0.0383235130517,0.115683187878,0.0477280700473,0.0244903567192,0.0785309761412,0.0626097691287,0.0975565655126,0.00587297900276,0.106687620091,0.172266207415,0.0718794956335
3727,0.124336739385,0.0582914117811,0.0263753680079,0.112975111629,0.27424033331,0.0428605861443,0.0156344485297,0.0257563777738,0.000848546675866,0.0252831828408,0.000937977845862,0.0689588731922,0.117036526137,0.00810407177843,0.0185066485106,0.0540119647028,0.0258418317564
3712,0.056814239348,0.0603518466563,0.0535478067716,0.00336649358688,0.0178380151749,0.0462803607033,0.0628333994751,0.167365644859,0.0830623460166,0.0333709430755,0.0373411116026,0.0462281715167,0.0105272307995,0.140856642288,0.0795598635948,0.0597094058213,0.0409464787093
3703,0.0530739300948,0.0532564247491,0.00187911248361,0.0460965154588,0.0328749799591,0.0011267454064,0.0802889778614,0.140614628067,0.105999944659,0.141414557398,0.0190433318861,0.0921724432551,0.0380907865192,0.0308524144213,0.041441164555,0.00491165337623,0.11686238985
3715,0.0230359783145,0.0880823771335,0.174438191933,0.0964475274748,0.0187487181368,0.136104640494,0.00474199820575,0.0271889012271,0.117339181266,0.0429011904281,0.110070662872,0.0107744768495,0.000185514267425,0.0241248305078,0.0646078014443,0.0606977359981,0.000510273447645
3705,0.0941047292271,0.0547385974901,0.00517520821934,0.119973664269,0.000221820371426,0.157498688841,0.0788472534751,0.0211447858107,0.0613318009558,0.0478985466978,0.0145092182419,0.00758233927872,0.0710637195724,0.149472221701,0.0324360424617,0.0445427187953,0.0394586445918
3706,0.00107940227052,0.113722336887,0.119283869653,0.0422035367207,0.002034745402,0.01505977573,0.138881782312,0.00742485469345,0.0497565361071,0.0944027614097,0.000218044866384,0.00759766264756,0.00445204770358,0.242246342988,0.113239966288,0.0159232382253,0.0324730960958
3722,0.0234110760289,0.0683448672858,0.0122440124879,0.0251757630581,0.0143671554067,0.0670338136389,0.0548871567294,0.0354853860131,0.147971207663,0.0992420646623,0.157740558693,0.0165979036224,0.0437717053135,0.0155673682667,0.0918820556679,0.0798918027145,0.0463861027479
3718,0.0476664359499,0.0602870984835,0.00889617303713,0.0523811629111,0.0518025883798,0.0152108721311,0.00206401675778,0.00488499163805,0.102367787502,0.0488810953649,0.0184223216231,0.334786359864,0.15605330176,0.0477315185608,0.0383875267447,0.0086110620856,0.00156568720763
3716,0.0194474648512,0.00971148520717,0.00472534692835,0.0382008300428,0.0500699861985,0.00809084273986,0.146942920294,0.0497513400202,0.0925412765788,0.0423410292684,0.0216682734896,0.0439099069139,0.100403253351,0.0557656771515,0.167130378601,0.0669712151052,0.0823287732581
258,0.0284769982358,0.073603932964,0.221015578506,0.106256942108,0.00217414762397,0.0342515379227,0.00135123576201,0.0498782581331,0.0684934091861,0.0561971847211,0.0577386456182,0.0347581394386,0.0595292742897,0.0116187993096,0.125318375517,0.0499226637611,0.0194148769026
259,0.0200326109961,0.0904643998282,0.0814410335724,0.0352114596717,0.0183107276097,0.07334922204,0.0606733680063,0.131808759108,0.134978549668,0.0721956222727,0.0081852412379,0.0878521021534,0.0671388189731,0.0408145162696,0.0319918703841,0.0208329818418,0.024718716367
141,0.290804889694,0.123089422448,0.0492189206723,0.0490686703884,0.0514850287939,0.00948789594062,0.0835643939713,0.04069492046,0.050227086712,0.0188222806602,0.0437794205459,0.0533954970499,0.00427759611914,0.0400590848663,0.0257776589275,0.0501286479452,0.0161185848046
193,0.166367076518,0.0205439456957,0.0289944168738,0.0564054292188,0.0615444032877,0.0651580083932,0.0101049041944,0.00518327726622,0.0231456548295,0.0247253829952,0.0310329879448,0.0491953693735,0.0436305357948,0.031227596815,0.222628946981,0.0566108381618,0.103501225657
194,0.0580304298113,0.0329615412862,0.0714596326705,0.177966421788,0.00594946857024,0.0202284693742,0.0158818200707,0.128572812623,0.0167550941214,0.108708508225,0.0831278033502,0.0121223005293,0.0260272825135,0.00894972682658,0.107622750504,0.0330950669595,0.0925408707768
330,0.0634145452582,0.0691478458652,0.00457817704596,0.0786535530662,0.117075184127,0.0305332394066,0.0505963541954,0.0313605717351,0.313761675665,0.0223967372354,0.0694442244616,0.000738189241411,0.041953530289,0.0790428021989,0.00730208314568,0.0145654630404,0.00543582402316
337,0.0424940588536,0.0183103647605,0.112138840364,0.00323924340942,0.05010374086,0.164289303408,0.0160655661766,0.168017498967,0.0115072510174,0.0192433532009,0.12684995422,0.138034198697,0.0118178053048,0.0696531514948,0.0199819541263,0.0239316886057,0.00432202653411
336,0.0354324781344,0.137641808088,0.070584523146,0.137706177052,0.165011016032,0.0325572496791,0.0286960867067,0.0836494016646,0.0251099225324,0.0394850485659,0.0236844194934,0.0322335038923,0.0578863354641,0.00583880530501,0.0334649948487,0.0467128396059,0.0443053897896
338,0.025979040579,0.00614479755106,0.230054362733,0.00695264335894,0.0797962478195,0.0522503250831,0.0241819958915,0.0577219893066,0.0200094513342,0.00725929797955,0.0329833132817,0.012266644493,0.0206208816925,0.167848334009,0.234223993514,0.00241284069232,0.0192938406812
339,0.0428009838231,0.046787000309,0.0904654610372,0.00168032037762,0.0452517831489,0.213317751245,0.0736991426929,0.00394302048769,0.0704595975528,0.0527409632734,0.0604783464704,0.0239421168178,0.000366211862115,0.094336866309,0.00903204580736,0.0235069911441,0.147191397641
341,0.0288617709278,0.0280986837641,0.133507583074,0.143263982269,0.0044518659853,0.0159803889169,0.0801410263066,0.138375253638,0.114548629677,0.0174886279956,0.00366879749692,0.00898499111658,0.0816203567635,0.0233405390357,0.00947833055362,0.078510706819,0.0896784656598
340,0.0901370145086,0.00495151811604,0.0260509614988,0.00874982914503,0.0931726306334,0.192439756838,0.0908703206426,0.0364584464859,0.160198800843,0.0138368130817,0.0383347505705,0.00382729772743,0.155928231938,0.0251405929947,0.0257372302177,0.000987239978265,0.0331785647804
335,0.125716655772,0.0919534507553,0.0826579471868,0.128667381078,0.0283424906616,0.00507944535736,0.0054257266834,0.0179212466184,0.0190052599139,0.0223046205243,0.0494999178921,0.120827582344,0.0767496389408,0.17135988009,0.00879576661099,0.0174631984151,0.0282297911563
326,0.0137921232398,0.0877795649511,0.0184176692358,0.0207201149075,0.105881257903,0.0803884162592,1.34488539722e-05,0.00408631270524,0.0119448899831,0.00386166516336,0.166664718068,0.0235987725305,0.0607735133174,0.032341776467,0.227739885155,0.00211337256243,0.139882498698
3501,0.0341061072705,0.0201083235436,0.0427806765724,0.0321621576979,0.184951952638,0.105721965073,0.117431162844,0.0365796534259,0.0382731959362,0.000534223170075,0.027124987539,0.0155384542274,0.162883042031,0.0943160005685,0.016162159757,0.0224860689556,0.0488398687494
3482,0.0631914328731,0.0797887179241,0.0668346223264,0.0126919829762,0.0258073231432,0.0746569024218,0.0312987192632,0.0170590891276,0.0498832961577,0.0894806587303,0.0033653520367,0.0766399857242,0.126558148801,0.0626546432571,0.050150376706,0.00248483298686,0.167453915545
3483,0.0732485826591,0.289479326416,0.0339065101994,0.00936713881431,0.0744034370833,0.115838810306,0.0248939531269,0.0413679551558,0.0439477837731,0.128829721035,0.00178336799573,0.0578435232721,0.0139190629702,0.0497804104607,0.0243620622889,0.0048195375492,0.0122088168946
3591,0.0211146992482,0.0355810305391,0.0550233742166,0.00975571057222,0.0217829392893,0.124957777219,0.0465100372868,0.119533077346,0.0402162201223,0.0264797271778,0.0417567048598,0.169960907872,0.0894932956063,0.0860847623877,0.0888440650703,0.00400132770349,0.0189043434835
3520,0.138097186131,0.0348230087081,0.146838461006,0.0787203411831,0.0108466961742,0.0659551851466,0.00304492381427,0.0260057847336,0.121924290271,0.0268527182379,0.0329361088591,0.0767584801467,0.127960364349,0.079887941865,0.00839556935658,0.019599550649,0.00135338936862
3510,0.0333801875177,0.00764716123113,0.08935191474,0.052558685581,0.0361201534421,0.046042148455,0.0277457817901,0.0475374773516,0.00329799799939,0.05539673894,0.200805093877,0.00399699642084,0.289413575644,0.0412587309405,0.0105849540303,0.04556339048,0.0092990115583
3592,0.0184462133667,0.0294196787763,0.0463629016511,0.0423698189218,0.00739773305899,0.0512182412282,0.120836584678,0.0225648393807,0.0253293325676,0.0921322270276,0.121485104593,0.0385754980471,0.0632139162331,0.0672292194931,0.16417691373,0.0867259524972,0.00251582474966
3512,0.0475955254569,0.0631662955217,0.0196458219637,0.0995512252561,0.0522034647785,0.104977458504,0.00196550056935,0.0290922387109,0.016202840791,0.0884543310763,0.00990859738521,0.193128889327,0.0185871602828,0.0694249870994,0.0955219474099,0.0639165314708,0.0266571843964
3503,0.0177309952993,0.204867361117,0.0355924069164,0.0846568129718,0.0341911064578,0.0531641505534,0.00442630488897,0.0185180649166,0.0523471562227,0.0178962518137,0.054824558578,0.0202648334502,0.05940255898,0.000702024331055,0.0349711213185,0.0914360847876,0.215008207397
3506,0.0678495754313,0.0163416212112,0.0392628766914,0.0638710754194,0.109295939937,0.0455341743068,0.0349310010428,0.366468861592,0.0284083284089,0.0860018374391,0.0478127878223,0.00502902538027,0.0261333764856,0.0205383419652,0.0193525419268,0.00944337357544,0.0137252613648
3493,0.0163763428262,0.0741187858498,0.0386810951316,0.0667982645523,0.0392139083582,0.0178755074525,0.0885050795329,0.151587309372,0.0199436058794,0.0628304297952,0.012233800837,0.143202024575,0.00539305103194,0.0408897821797,0.0734469727471,0.0682643070603,0.0806397328189
3505,0.099049944566,0.00308764482766,0.0906528074959,0.0304399022638,0.0441206781323,0.0227609929326,0.0167876294742,0.0574315806599,0.00595314935976,0.00578299232035,0.149288971309,0.082467104853,0.0415665329368,0.0315473338404,0.158612963448,0.0328270776658,0.127622693915
3497,0.0476014411474,0.0538083092367,0.0839780564975,0.0285545839563,0.0057208389577,0.0874912926621,0.0463634673086,0.0110053927472,0.169119143024,0.16987436919,0.00803064762703,0.0708493597082,0.0625848757623,0.0288833068592,0.0804677704805,0.00604548839474,0.0396216564409
3495,0.0178078897987,0.00963661607559,0.13770295718,0.0265196546463,0.0488704680396,0.120794019564,0.0562043739488,0.0839440483769,0.0170954643956,0.0132388690018,0.00756202015187,0.0398299095542,0.0890245190413,0.114911048035,0.0607148945646,0.0259507108396,0.130192536786
3496,0.0427364013659,0.0119609102014,0.203401257912,0.0143730634452,0.0592384551105,0.0567853587996,0.00179985895282,0.121758258893,0.0060514492635,0.102690942366,0.0295453654463,0.0973256762694,0.0105972643791,0.010791702232,0.171848999133,0.00515579485203,0.053939241379
3494,0.0555761510159,0.0138294465677,0.0368785483134,0.0251771413235,0.109722655586,0.0703493367388,0.183785350659,0.0634603530772,0.0130346088154,0.0296937129028,0.0150449773129,0.0898287734688,0.0238778395806,0.0281711362918,0.0723817034659,0.0212960263295,0.147892238551
3488,0.0489266882035,0.0387073283315,0.0309407333211,0.190324383401,0.0380952338749,0.0128821644264,0.0188928291994,0.0792387190157,0.00246920718614,0.115199226211,0.047667694138,0.148596765286,0.0568785803885,0.0264202782763,0.0257504089945,0.0582099580611,0.0607998016849
